Channel Name,Video URL,Views,Likes,Dislikes,Title,# Of Title Chars,# Of Description Chars
bald and bankrupt,https://www.youtube.com/watch?v=zsa3XWw5hFE,"3,137,191 views",49K,1.3K,Belarus Girl Invites Me for Lunch...I Have To Pay! 🇧🇾,53,291
bald and bankrupt,https://www.youtube.com/watch?v=rsVhE4Qn7z8,"2,119,915 views",41K,702,Pink Sausages And Vodka | Journey to The Provinces Of Belarus 🇧🇾,64,230
bald and bankrupt,https://www.youtube.com/watch?v=X74KhXTAigs,"2,731,069 views",45K,950,Back To The USSR | Lost In The Belarus Provinces 🇧🇾,51,185
bald and bankrupt,https://www.youtube.com/watch?v=G7HIGx4OCzU,"2,511,127 views",49K,1.5K,Russian Girls Try Indian Food For The First Time! 🇮🇳,52,238
bald and bankrupt,https://www.youtube.com/watch?v=YxKDop0y4VM,"249,505 views",7.6K,347,These Guys Will Crush Pewdiepie | India's YouTube Sensations 🇮🇳,63,213
bald and bankrupt,https://www.youtube.com/watch?v=v56snUZqKFU,"2,214,365 views",40K,3.2K,Is Your Country This Crazy? | UFC On The Street 🇮🇳,50,251
bald and bankrupt,https://www.youtube.com/watch?v=VvMZKOjh1a0,"748,146 views",19K,1.2K,You Won't Believe What Indians Are Reading! | India's Largest Second Hand Book Market 🇮🇳,88,269
bald and bankrupt,https://www.youtube.com/watch?v=vI2kzE-WTXU,"1,072,746 views",22K,384,🇮🇳 Trying $0.25 Spicy Tibetan Laping Noodles | India Food Vlog,62,177
bald and bankrupt,https://www.youtube.com/watch?v=TLhGyksrlgQ,"339,682 views",9.3K,356,Could You Handle This Traffic? | Delhi's Craziest Junction 🇮🇳,61,265
bald and bankrupt,https://www.youtube.com/watch?v=ym21adEKUnk,"1,015,315 views",22K,1K,Bhabhi Porn Market Of Delhi 🔞,29,256
bald and bankrupt,https://www.youtube.com/watch?v=6fZQKoTEEBc,"395,894 views",13K,722,Money Necklace Social Experiment | Thieve's Market India 🇮🇳,59,389
bald and bankrupt,https://www.youtube.com/watch?v=ZELKvzHZBVg,"673,114 views",14K,382,🍺 Trying Diablo | Burma's Strongest Drink,41,230
